id,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
263,Maruti Dzire,2020,74490,1,PETROL,UP-32,Manual,Sedan,602000
264,Hyundai GRAND I10 NIOS,2020,29284,1,PETROL,GJ-01,Automatic,HatchBack,713000
265,Maruti Swift,2019,81694,1,CNG,HR-10,Manual,HatchBack,537000
266,Maruti Dzire,2018,72038,3,DIESEL,MP-09,Manual,Sedan,576000
267,Maruti Swift Dzire,2013,57512,1,PETROL,MH-02,Manual,Sedan,467000
268,Maruti Swift,2019,37732,1,PETROL,MP-09,Manual,HatchBack,601000
269,Maruti Dzire,2018,51133,1,DIESEL,UP-32,Manual,Sedan,630000
270,Renault Duster,2019,47944,1,PETROL,DL-7C,Manual,SUV,762000
271,Ford Ecosport,2017,33493,1,PETROL,KA-01,Automatic,SUV,777000
272,Maruti Swift,2017,21083,1,PETROL,GJ-01,Manual,HatchBack,544000
273,Tata Harrier,2020,44616,1,DIESEL,BR-01,Manual,SUV,1740000
274,Maruti Baleno,2019,53219,1,PETROL,GJ-01,Manual,HatchBack,628000
275,Maruti Alto K10,2010,60180,2,PETROL,HR-20,Manual,HatchBack,177000
276,KIA SONET,2022,5758,1,DIESEL,GJ-01,Automatic,SUV,1431000
277,Maruti Baleno,2017,89581,1,PETROL,TS-05,Manual,HatchBack,646000
278,Datsun Redi Go,2017,115401,1,PETROL,,Manual,HatchBack,213000
279,Maruti Ciaz,2018,52698,1,PETROL,DL-8C,Manual,Sedan,361000
280,Maruti Swift,2019,47262,1,PETROL,PB-70,Manual,HatchBack,605000
281,Hyundai Grand i10,2017,16634,2,PETROL,KA-51,Manual,HatchBack,533000
282,Tata TIGOR,2017,110311,1,PETROL,,Manual,Sedan,441000
283,Honda City,2014,54759,1,PETROL,CH-01,Manual,Sedan,508000
284,Maruti Alto 800,2013,48444,1,PETROL,KA-36,Manual,HatchBack,286000
285,Maruti Swift Dzire,2015,42976,1,PETROL,MH-05,Automatic,Sedan,476000
286,Maruti Swift,2017,52382,1,PETROL,KA-25,Manual,HatchBack,676000
287,Hyundai i10,2012,24918,2,PETROL,MH-02,Manual,HatchBack,269000
288,Tata Tiago,2018,44315,1,PETROL,TS-08,Manual,HatchBack,467000
289,Maruti Vitara Brezza,2018,48451,1,DIESEL,MH-03,Manual,SUV,930000
290,Maruti IGNIS,2022,12699,1,PETROL,TN-07,Manual,HatchBack,732000
291,Maruti Ciaz,2018,24385,1,PETROL,GJ-27,Manual,Sedan,748000
292,Hyundai Grand i10,2016,71337,1,PETROL,GJ-06,Manual,HatchBack,451000
293,Renault Kwid,2016,83219,1,PETROL,MH-02,Manual,HatchBack,270000
294,Maruti Baleno,2016,43655,1,PETROL,KA-03,Manual,HatchBack,630000
295,Honda City,2014,45165,2,PETROL,PB-02,Manual,Sedan,779000
296,Tata PUNCH,2022,7125,1,PETROL,MH-04,Manual,SUV,725000
297,Hyundai Creta,2018,32209,1,PETROL,MH-03,Automatic,SUV,1188000
298,Maruti New Wagon-R,2019,85969,1,CNG,DL-9C,Manual,HatchBack,496000
299,Maruti Swift,2019,31286,1,PETROL,TS-09,Automatic,HatchBack,690000
300,Volkswagen Polo,2021,30088,1,PETROL,TS-07,Manual,HatchBack,761000
301,Maruti Alto K10,2015,61108,1,PETROL,CH-01,Manual,HatchBack,281000
302,Renault Duster,2016,93415,1,DIESEL,GJ-27,Manual,SUV,608000
303,Maruti Alto 800,2017,57971,2,PETROL,UP-14,Manual,HatchBack,260000
304,Hyundai Elite i20,2014,76697,3,DIESEL,TN-02,Manual,HatchBack,520000
305,Hyundai VENUE,2020,11066,1,PETROL,UP-16,Manual,SUV,1090000
306,Mahindra TUV300,2018,36242,1,DIESEL,UP-14,Automatic,SUV,794000
307,Hyundai i20,2011,46494,2,PETROL,WB-20,Manual,HatchBack,207000
308,Maruti Dzire,2020,71019,2,DIESEL,TS-08,Manual,Sedan,641000
309,Renault TRIBER,2020,14282,1,PETROL,DL-12,Automatic,SUV,691000
310,Tata Tiago,2019,42739,2,PETROL,TN-09,Manual,HatchBack,515000
311,Maruti Swift Dzire,2011,16153,1,PETROL,DL-9C,Manual,Sedan,873000
312,Maruti S PRESSO,2022,5787,1,PETROL,GJ-17,Manual,HatchBack,444000
313,Hyundai i10,2012,63585,1,PETROL,HR-26,Manual,HatchBack,222000
314,Maruti Wagon R 1.0,2013,61132,1,PETROL,AP-29,Manual,HatchBack,320000
315,Honda City,2015,46836,1,PETROL,MP-09,Manual,Sedan,624000
316,Maruti Swift,2014,52802,2,PETROL,KA-05,Manual,HatchBack,514000
317,Volkswagen Polo,2019,47613,1,PETROL,KA-03,Manual,HatchBack,767000
318,Hyundai Grand i10,2015,88880,1,PETROL,MP-04,Manual,HatchBack,429000
319,Toyota Camry,2015,66467,1,PETROL,MH-02,Automatic,Lux_sedan,1122000
320,Hyundai Verna,2021,42075,1,PETROL,DL-7C,Manual,Sedan,619000
321,Maruti Ciaz,2015,44348,1,PETROL,TS-08,Automatic,Sedan,746000
322,Maruti Swift,2018,32875,1,PETROL,GJ-06,Manual,HatchBack,579000
323,Hyundai Creta,2018,49538,1,DIESEL,UP-14,Manual,SUV,1056000
324,Hyundai Creta,2015,39584,1,PETROL,MH-47,Manual,SUV,807400
325,Honda City,2016,73338,1,PETROL,GJ-05,Manual,Sedan,632000
326,Toyota Corolla Altis,2015,66362,3,PETROL,HR-26,Automatic,Lux_sedan,860000
327,Maruti IGNIS,2017,36248,1,PETROL,KA-51,Manual,HatchBack,596000
328,Renault Duster,2016,56156,1,DIESEL,UP-16,Automatic,SUV,548000
329,Renault Duster,2016,100583,1,DIESEL,HR-26,Manual,SUV,492000
330,Maruti Swift,2018,42059,2,PETROL,KA-04,Automatic,HatchBack,705000
331,Tata Tiago,2018,38575,2,PETROL,KA-01,Automatic,HatchBack,571000
332,Maruti Baleno,2017,20607,2,PETROL,KA-03,Manual,HatchBack,648000
333,Honda Civic,2012,56446,2,PETROL,UP-32,Automatic,Sedan,520000
334,Hyundai GRAND I10 NIOS,2022,17428,1,CNG,DL-7C,Manual,HatchBack,719000
335,Honda Jazz,2022,11365,1,PETROL,TS-13,Automatic,HatchBack,947000
336,Hyundai Creta,2016,52891,1,PETROL,MH-47,Manual,SUV,733000
337,Volkswagen Vento,2020,21275,1,PETROL,MH-48,Manual,Sedan,641000
338,Honda Amaze,2019,44514,1,PETROL,BR-01,Manual,Sedan,479000
339,Maruti Alto K10,2015,30751,1,PETROL,KA-03,Manual,HatchBack,341000
340,Honda Jazz,2018,39284,1,PETROL,GJ-27,Manual,HatchBack,614000
341,Hyundai Grand i10,2019,37965,1,PETROL,GJ-01,Automatic,HatchBack,626000
342,Maruti Swift Dzire,2014,83845,1,PETROL,KA-02,Manual,Sedan,607000
343,KIA SELTOS,2019,57179,1,PETROL,TS-07,Manual,SUV,1197000
344,Hyundai Elite i20,2015,94121,2,PETROL,TS-08,Manual,HatchBack,549000
345,Maruti Ciaz,2017,52645,3,PETROL,TN-10,Manual,Sedan,617000
346,Honda Jazz,2017,43025,2,PETROL,TN-18,Manual,HatchBack,592000
347,Maruti Swift,2012,105992,1,DIESEL,MH-04,Manual,HatchBack,423000
348,Tata Tiago,2021,30359,2,PETROL,TS-08,Manual,HatchBack,577000
349,Hyundai Grand i10,2017,26678,2,PETROL,TS-13,Manual,HatchBack,548000
350,Maruti Wagon R 1.0,2017,15993,1,PETROL,KA-04,Manual,HatchBack,463000
351,Ford Ecosport,2016,67889,1,PETROL,KA-02,Automatic,SUV,755000
352,Hyundai NEW I20,2022,19944,1,PETROL,GJ-01,Manual,HatchBack,930000
353,Ford Ecosport,2018,37983,1,PETROL,KA-04,Manual,SUV,810000
354,Maruti Ritz,2011,73946,1,PETROL,MH-14,Manual,HatchBack,248000
355,Hyundai Creta,2017,79634,1,PETROL,GJ-01,Automatic,SUV,948000
356,Hyundai i10,2013,91279,2,PETROL,KA-03,Automatic,HatchBack,349000
